100,260,55,1200,460
130,270,50,1200,260
180,280,60,660,100
100,470,30,1200,270
180,480,45,370,100
220,491,65,940,600
330,110,47,630,600
310,130,25,1200,260
640,100,30,965,100
630,150,45,1200,460
930,100,35,930,600
940,170,60,100,420
360,600,50,940,600
380,550,66,100,220
660,600,30,660,100
680,530,45,970,100
960,600,65,100,230
990,520,55,665,100
1200,230,75,365,100
1150,220,55,330,600
1090,240,60,960,100
1200,430,30,330,600
1130,410,45,100,230
1080,440,35,943,600
800,220,40,100,230
800,410,55,100,220
360,350,30,100,210
470,220,55,100,420
850,440,45,100,430
250,405,20,100,405
660,350,45,360,100
395,390,35,395,100
870,230,44,365,100
420,280,37,675,100
435,460,60,685,100
980,370,40,690,100
750,265,43,965,100
770,490,60,970,100
455,285,55,960,100
320,355,40,320,600
920,320,65,335,600
870,435,70,320,600
630,310,38,630,600
880,215,65,620,600
825,430,30,620,600
475,275,65,940,600
735,280,50,930,600
630,350,60,920,600
660,390,55,1200,270
495,475,60,1200,266
530,260,75,1200,260
480,230,80,1200,480




